blockNumber,reserve0,reserve1
18909375,"52298043273236","22749879235413742789509"
18909376,"52298043273236","22749879235413742789509"
18909377,"52298043273236","22749879235413742789509"
18909378,"52298543273236","22749662387784452722750"
18909379,"52298502185988","22749680314370987123179"
18909380,"52298502185988","22749680314370987123179"
18909381,"52298502185988","22749680314370987123179"
18909382,"52298502185988","22749680314370987123179"
18909383,"52298205918838","22749809578150284676235"
18909384,"52297656654932","22750049230360747508231"
18909385,"52297656654932","22750049230360747508231"
18909386,"52297607304377","22750070763007311897695"
18909387,"52297607304377","22750070763007311897695"
18909388,"52297607304377","22750070763007311897695"
18909389,"52297607304377","22750070763007311897695"
18909390,"52297607304377","22750070763007311897695"
18909391,"52297607304377","22750070763007311897695"
18909392,"52297607304377","22750070763007311897695"
18909393,"52296690846581","22750470639481766109741"
18909394,"52296690846581","22750470639481766109741"
18909395,"52296690846581","22750470639481766109741"
18909396,"52296690846581","22750470639481766109741"
18909397,"52296690846581","22750470639481766109741"
18909398,"52296690846581","22750470639481766109741"
18909399,"52296690846581","22750470639481766109741"
18909400,"52296690846581","22750470639481766109741"
18909401,"52296763567411","22750439098910173660206"
18909402,"52296863567411","22750395726925001945444"
18909403,"52296863567411","22750395726925001945444"
18909404,"52297363567411","22750178869480925635509"
18909405,"52297363567411","22750178869480925635509"
18909406,"52297363567411","22750178869480925635509"
18909407,"52297363567411","22750178869480925635509"
18909408,"52297363567411","22750178869480925635509"
18909409,"52297363567411","22750178869480925635509"
18909410,"52297363567411","22750178869480925635509"
18909411,"52297363567411","22750178869480925635509"
18909412,"52297363567411","22750178869480925635509"
18909413,"52298361577056","22749746030212988227218"
18909414,"52298361577056","22749746030212988227218"
18909415,"52298361577056","22749746030212988227218"
18909416,"52298361577056","22749746030212988227218"
18909417,"52298361577056","22749746030212988227218"
18909418,"52298361577056","22749746030212988227218"
18909419,"52298361577056","22749746030212988227218"
18909420,"52298361577056","22749746030212988227218"
18909421,"52298361577056","22749746030212988227218"
18909422,"52301713247249","22748292523116835704496"
18909423,"52301713247249","22748292523116835704496"
18909424,"52301713247249","22748292523116835704496"
18909425,"52301713247249","22748292523116835704496"
18909426,"52301713247249","22748292523116835704496"
18909427,"52301713247249","22748292523116835704496"
18909428,"52301713247249","22748292523116835704496"
18909429,"52302293247249","22748041015443742750963"
18909430,"52302293247249","22748041015443742750963"
18909431,"52302293247249","22748041015443742750963"
18909432,"52302293247249","22748041015443742750963"
18909433,"52302293247249","22748041015443742750963"
18909434,"52303793247249","22747390590376010244938"
18909435,"52303793247249","22747390590376010244938"
18909436,"52303793247249","22747390590376010244938"
18909437,"52303793247249","22747390590376010244938"
18909438,"52303793247249","22747390590376010244938"
18909439,"52303793247249","22747390590376010244938"
18909440,"52303899544126","22747344499688974925932"
18909441,"52303899544126","22747344499688974925932"
18909442,"52303899544126","22747344499688974925932"
18909443,"52303899544126","22747344499688974925932"
18909444,"52304399544126","22747127700496992475951"
18909445,"52304399544126","22747127700496992475951"
18909446,"52304399544126","22747127700496992475951"
18909447,"52304399544126","22747127700496992475951"
18909448,"52304399544126","22747127700496992475951"
18909449,"52304399544126","22747127700496992475951"
18909450,"52304460215154","22747101393919199689346"
18909451,"52305460215154","22746667808949347501620"
18909452,"52305460215154","22746667808949347501620"
18909453,"52305460215154","22746667808949347501620"
18909454,"52305460215154","22746667808949347501620"
18909455,"52305460061655","22746667875904089919335"
18909456,"52305460061655","22746667875904089919335"
18909457,"52305460061655","22746667875904089919335"
18909458,"52305460061655","22746667875904089919335"
18909459,"52305460061655","22746667875904089919335"
18909460,"52305460061655","22746667875904089919335"
18909461,"52305460061655","22746667875904089919335"
18909462,"52305460061655","22746667875904089919335"
18909463,"52305460061655","22746667875904089919335"
18909464,"52305460061655","22746667875904089919335"
18909465,"52305460061655","22746667875904089919335"
18909466,"52305460061655","22746667875904089919335"
18909467,"52305460061655","22746667875904089919335"
18909468,"52305460061655","22746667875904089919335"
18909469,"52305460061655","22746667875904089919335"
18909470,"52305460061655","22746667875904089919335"
18909471,"52305460061655","22746667875904089919335"
18909472,"52305460061655","22746667875904089919335"
18909473,"52305560061655","22746624518318442013042"
18909474,"52305560061655","22746624518318442013042"
18909475,"52307226674125","22745901939725302959279"
18909476,"52307226674125","22745901939725302959279"
18909477,"52307026675525","22745989171544046072662"
18909478,"52307026675525","22745989171544046072662"
18909479,"52307026675525","22745989171544046072662"
18909480,"52308068675525","22745537420623679390683"
18909481,"52308068675525","22745537420623679390683"
18909482,"52308068675525","22745537420623679390683"
18909483,"52308068675525","22745537420623679390683"
18909484,"52308068675525","22745537420623679390683"
18909485,"52308068675525","22745537420623679390683"
18909486,"52308056175427","22745542872498679390683"
18909487,"52308056175427","22745542872498679390683"
18909488,"52308056175427","22745542872498679390683"
18909489,"52308056175427","22745542872498679390683"
18909490,"52308056175427","22745542872498679390683"
18909491,"52308056175427","22745542872498679390683"
18909492,"52308056175427","22745542872498679390683"
18909493,"52308056175427","22745542872498679390683"
18909494,"52308056175427","22745542872498679390683"
18909495,"52308056175427","22745542872498679390683"
18909496,"52308056175427","22745542872498679390683"
18909497,"52308056175427","22745542872498679390683"
18909498,"52308056175427","22745542872498679390683"
18909499,"52308056175427","22745542872498679390683"
18909500,"52308056175427","22745542872498679390683"
18909501,"52308056175427","22745542872498679390683"
18909502,"52307830721669","22745641203829695958196"
18909503,"52307830721669","22745641203829695958196"
18909504,"52307830721669","22745641203829695958196"
18909505,"52307830721669","22745641203829695958196"
18909506,"52307830721669","22745641203829695958196"
18909507,"52307830721669","22745641203829695958196"
18909508,"52307830721669","22745641203829695958196"
18909509,"52307830721669","22745641203829695958196"
18909510,"52308747572757","22745243916527689833388"
18909511,"52308747572757","22745243916527689833388"
18909512,"52308747572757","22745243916527689833388"
18909513,"52308747572757","22745243916527689833388"
18909514,"52308747572757","22745243916527689833388"
18909515,"52308747572757","22745243916527689833388"
18909516,"52308747572757","22745243916527689833388"
18909517,"52308747572757","22745243916527689833388"
18909518,"52308747572757","22745243916527689833388"
18909519,"52308747572757","22745243916527689833388"
18909520,"52308747572757","22745243916527689833388"
18909521,"52307925686808","22745602375535335219709"
18909522,"52307467131842","22745802375535335219709"
18909523,"52307467131842","22745802375535335219709"
18909524,"52307467131842","22745802375535335219709"
18909525,"52307467131842","22745802375535335219709"
18909526,"52307467131842","22745802375535335219709"
18909527,"52307467131842","22745802375535335219709"
18909528,"52307467131842","22745802375535335219709"
18909529,"52307467131842","22745802375535335219709"
18909530,"52307467131842","22745802375535335219709"
18909531,"52307467131842","22745802375535335219709"
18909532,"52307467131842","22745802375535335219709"
18909533,"52307467131842","22745802375535335219709"
18909534,"52307467131842","22745802375535335219709"
18909535,"52307467131842","22745802375535335219709"
18909536,"52307467131842","22745802375535335219709"
18909537,"52307467131842","22745802375535335219709"
18909538,"52307467131842","22745802375535335219709"
18909539,"52307467131842","22745802375535335219709"
18909540,"52307467131842","22745802375535335219709"
18909541,"52307467131842","22745802375535335219709"
18909542,"52307467131842","22745802375535335219709"
18909543,"52307467131842","22745802375535335219709"
18909544,"52307467131842","22745802375535335219709"
18909545,"52307467131842","22745802375535335219709"
18909546,"52307467131842","22745802375535335219709"
18909547,"52307467131842","22745802375535335219709"
18909548,"52307467131842","22745802375535335219709"
18909549,"52307733700636","22745686806941377328478"
18909550,"52307733700636","22745686806941377328478"
18909551,"52307733700636","22745686806941377328478"
18909552,"52307733700636","22745686806941377328478"
18909553,"52307733700636","22745686806941377328478"
18909554,"52307733700636","22745686806941377328478"
18909555,"52307733700636","22745686806941377328478"
18909556,"52307733700636","22745686806941377328478"
