blockNumber,amount0,amount1
19757691,"7764969847581","2372177220907154381153"
19762081,"31814336","10000000000000000"
19772148,"7764969847581","2590098318787358846633"
19774584,"227192253967","79178288701153984964"
19774608,"46614055239","16269220599315929101"
19774730,"153368021437","53233164826788759843"
19779410,"467443583","160815238184180363"
19792957,"7764969847581","2495429347781191917931"
19798848,"1000000","320348799456943"
19809775,"200000000","62902553937411013"
19811767,"2000000","645161233250232"
19816620,"3068871","1000000000000000"
19821411,"7764969847581","2573589613104492982132"
19826315,"14899969","4977009615665053"
19838631,"1099959929394","362105543333844440680"
19843431,"7764969847581","2662337358216298146921"
19846917,"3542009269781","1220989684454178813718"
19847975,"500000000","171043361094811832"
19853197,"10000000000","3436924803353233291"
19864460,"7764969847581","2636951097265511984127"
19873521,"10000000000","3443910604049480083"
19877187,"6095075","2030628753942348"
19877867,"9999959","3303134839062900"
19885485,"10000000000","3411029722513787176"
19890443,"206047663","66788764360906980"
19890645,"3108633","1000000000000000"
19891289,"2522822","814121751660782"
19893533,"7764969847581","2511326881365815890167"
19902758,"7764969847581","2494713819324879880462"
19906182,"640354477","208499999733679236"
19909680,"9264192","3000000000000000"
19912205,"66882428","21452611931624462"
19921408,"7764969847581","2041215151652843062964"
19930245,"10000000000","2648888395210061972"
19943108,"7764969847581","2082617500145010300255"
19947394,"1999875","534988005200977"
19947403,"1999740","535015259325346"
19951312,"7764969847581","2076869682608977018531"
19964711,"7764969847581","1999811951691869917971"
19978698,"7764969847581","2056887973362570830927"
19984819,"1994514","528401585204756"
19985952,"80000000","21305730973334409"
19989496,"189172","49999906719131"
19989783,"10000","2632252591163"
19992989,"7764969847581","2058425562581217215495"
20007492,"7764969847581","2059151671191067095701"
